Day,Group,Metric,Unit,Amount
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,101.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,103.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,103.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,103.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,103.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,101.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,101.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,115.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,115.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,127.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,127.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,129.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,129.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,137.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,137.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,138.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,138.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,138.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,138.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,120.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,120.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,116.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,116.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,114.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,114.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,107.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,107.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,110.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,110.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,110.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,110.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,106.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,106.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,106.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,106.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,110.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,110.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,96.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,96.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,96.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,96.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,103.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,103.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,103.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,103.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,102.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,102.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,105.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,105.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,105.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,105.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,111.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,111.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,103.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,103.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,103.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,103.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,102.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,102.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,103.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,103.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,100.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,100.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,100.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,100.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,104.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,104.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,105.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,105.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,104.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,104.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,103.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,103.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,100.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,100.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,97.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,97.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,98.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,98.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,104.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,104.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,103.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,103.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,102.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,102.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,99.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,99.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,98.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,98.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,94.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,94.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,96.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,96.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,95.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,95.0
